,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
141,CHALLENGER,YguFcc8Pnpnh2n0wHzJi2bFSk4-jrBR7cg5l7IH0D-PsfS8,FPXzhaoUP4506303,1004,241,123,False,False,False,True
142,CHALLENGER,7xZZz4vocnoCMG7OiQo4QNy5FSfONtees0OFoldR7VBA_Q,Axiyo,812,164,164,True,False,False,False
143,CHALLENGER,M8yiWfrvC4-_BE_sa5i_2MgI5nlq6ZA8GBdd22bRhytQ8T8,쭌 베 fan,692,650,625,False,False,False,False
144,CHALLENGER,BxkcJzf1RZNq3Zh7JoNnEvUWHw8ikZD-xrUcbmcnaTC3Hw,arrowIoI,1024,556,493,True,False,False,False
145,CHALLENGER,OHKud3cUZjrWvC_i9eZvKG6xKTPUAUxu0WawSi0qh9PXZR4,Miunaovo,840,396,349,False,False,False,False
146,CHALLENGER,Dir8QVMhd_4dfSPhsFyfao3dktQg_t9DoBnlJ6PKULMctOs,T1 Kuri,1084,748,691,True,False,False,False
147,CHALLENGER,PMJEQqgul7-jGuxxd7QHaiX9oZHmCA8cvciwYeKSw5cKTCE,showmakerzzz,1307,203,126,True,False,False,False
148,CHALLENGER,pVo-KxZKlbmF_8f_MowjEACaU0RDgxh8em9H1fKkIyVG4rQ,T1 Cuzz,888,295,249,True,False,False,False
149,CHALLENGER,CoWMLO2ckp8cNApzAQe7Zfwsj0O3dxl-On3zGVJRert1_es,T1 Gumayusi,1241,542,465,True,False,False,True
150,CHALLENGER,btG_S2Ip_ud5R4uFbF1clTtNS8b5D47biK8xTDkMHIlvfQ,단군의청춘부재,893,421,398,False,False,False,False
151,CHALLENGER,i9LV6MCcSzZOWVAIMGKf4x00ScbDawr9JZNjAS-GvrEUNRM,마스크 챙기자,861,471,424,False,False,False,False
152,CHALLENGER,kGkmO6UD9tkB5bNWIYDbStsG_DOwye6yre-6uLMirEKmNf4,KT Malrang,1337,336,257,True,False,False,True
153,CHALLENGER,a6cZyZCMxZ0un6_BP3XzUHAAC9L9wxlNGgNH80EbwyI89F8,주먹밥쿵야l,714,208,170,False,False,False,False
