tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,G3cGKR-yGyllMDqwtSo8zdiO_qtuPfliVa6EwnIQpOJuzb4,Goldguns,380,383,363,False,False,True,True
GRANDMASTER,KEPwGlKCdtw8gAu3RLslp6LlpB8GCtiOAqdNm-35H7Pt1uk,zhuimengchizixin,321,416,399,False,False,True,False
GRANDMASTER,cY5iXgkscQ14PcJnFARj3FRrWTEVHFMCLUt0acts_wP4BbQ,HLE Vsta,536,137,108,False,False,False,True
GRANDMASTER,0AsWVheb9kQasdL4FldfeN3eZ-HlyFG_NX5yvGojlp4xKQ,기도메타올라프,304,262,239,False,False,True,True
GRANDMASTER,rkYSMN6jla7tB1fbk7jnH4X88MPVOPKTpLdkWzB42M8HFvA,ZOEKlNG,535,101,66,False,False,False,False
GRANDMASTER,Q9q5f-w3XSykSjS22O32b8LjzkRSlnxRIfl15fJTsZJu7ro,망나니탑황족정글,362,182,147,False,False,False,False
GRANDMASTER,hZFW5fDi5FJLKoxE1mHBywz7-3l9hmW2cwpyhMrgwvPmClA,스컬지,333,433,380,False,False,True,False
GRANDMASTER,GgL8gQrC8S45LWRuI8EoS0iI7VeKuZcwaRgaRfwxbg2N_jw,bupingfan,350,338,299,False,False,False,False
GRANDMASTER,bwbHEWvi2lN62gvuW51O3Wfd12h0B_LnrP01TnqYgIE0d6Y,Grovyle,309,574,515,False,False,True,True
GRANDMASTER,lgZV1xjsOc8VCa1xLxz0fI1CRRVddqViPa4nMZgGey1V0Cs,크캣99,299,548,454,False,False,True,False
GRANDMASTER,lo7ZVnIVD3bHMt5uWhFq95xSFnyQt4r8EJQ7-iQ0lockxzo,캡 틴 조 아,304,406,374,False,False,False,False
GRANDMASTER,XOV3DkxvMHh05H1t3vbvFQRp1-wgxAbTI6OwN01mN1yr9PQ,Best Wei ,524,363,264,True,False,False,True
GRANDMASTER,7HuxHPFOlJPOWarcIltod_C2r4Hq-AHb7HDmfyJya9Fk_SWC,salad chan F,606,193,102,False,False,False,True
GRANDMASTER,zGR2ndEQU0i0gCmmL9Q9dC4w7D1hedI04KhYygCPU9JsPY0,액쇼니,400,530,513,False,False,True,True
