,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
515,GRANDMASTER,BLXVp4NaS8MmHOr6Jz4A6cif9dCbhWGF09uPMxz3cd8nPr0,Chen Wei T1ng,425,981,973,False,False,True,False
516,GRANDMASTER,cvxf6tXbVwGldBd1rtQHgSVfwbWtgR_9OOBoBnTCq4z7ysw,김촐래,617,138,87,False,False,True,False
517,GRANDMASTER,eMtMWDexz7f2URvahANnLzBCHEVbauxuZRW8f0kvFOr6ipU,Sciuridae,401,566,542,False,False,True,False
518,GRANDMASTER,Qy73Y1k6X3_7WXFaOxPqlKyQkVjoXVC4QrMxY3cGQ3v-LdY,Lv 1 너구리,478,165,118,False,False,True,False
519,GRANDMASTER,HBekaG9WiWQizwqcfI5ugn-ml1BkmZz7BtbwNpcKNLTKGe0,Gen G nyx,417,1096,1104,True,False,False,False
520,GRANDMASTER,qaBlD-mduAFUHTcN8V-BZqvxOKguGtAvgbnAKwtzuU24DZ4,수금토토일민우,472,179,144,False,False,False,False
521,GRANDMASTER,9FJY7rTICDkeoYL5ggLkwf7pbv_Z367zuRWV8r2XzJXeSQ,Youtube 성훈,381,295,267,True,False,False,False
522,GRANDMASTER,InuLamQMUP5sZr7zkCu_F-tYnc958VzSUK6CRFpN1a3Vyvs,함 알,430,648,611,True,False,False,False
523,GRANDMASTER,mOv7i4Ai06rtvYcoLAmrDrE00w3j464VoDVMWwYVtiV9UEw,추 웠,498,289,244,True,False,False,False
524,GRANDMASTER,nO-KJpnmNdox0OSpI0j7FNy-csECcMUDuE0xQwKAXZqrSBE,jiudaozheliba,311,704,698,False,False,True,False
